,text_employer,category,pred
10,добрый_день бизнес персональный_менеджер организация спектр звонить удобно беседовать верно побеседовать вопрос банковский обслуживание подсказать последний цифра номер указать ноль какой номер связаться хороший понять информация хороший продолжение день желать добрый свидание,Бизнес-карта,Открытие банковского счета
33,добрый_день звать сбербанк блок сбер бизнес звонить организация розовый удобно разговаривать понимать проблема возникнуть телефония входящий работать конечный итог дозвониться давать перенос попробовать понять утром попробовать завтра перезвонить добрый свидание,Бизнес-карта,Зарплатные проекты
38,сбербанк зарплатный_проект подсказать обращаться сказать организация повторить цифра верно давать заново проверить верно мочь уточнить неверный верно зарплатный_проект говорить звонить уточнить информация потребоваться ожидать благодарить ожидание консультация вызов перевести специалист сервис продукт_банка оставаться линия свидание здравствуйте обращаться уточнить юридический_лицо уточнить оформить левый планироваться оформить условие помощь зарплатный_проект мочь выплачивать заработный_плата карта сотрудник один реестр плюс удобно продавать обслуживание классический карта бесплатно золотой скидка ипотека кредитование ипотека минус полпроцент скидка среднее резидент российский федерация услуга подключиться легко офис давать рассчитать комиссия слушать сбер бизнес комиссия рассчитать доступ расчётный счёт открыть какой регион какой количество сотрудник фонд оплата сотрудник фонд_оплата_труд сотрудник общий месяц предлагать следующий условие классический карта сотрудник бесплатно комиссия регион санкт петербург целый один сумма комиссия взиматься каждый операция зачисление заработный_плата миллион составить комиссия тысяча рубль услуга подключить легко офис подключить сбер бизнес компьютер телефон данный предложение отправить доступ зайти понять нету телефон возможность зайти точно приложение доступ мочь зайти раздел продукт услуга зарплатный_проект оформить заполнять заявление присоединение подписывать банк отправлять личный_кабинет сбер бизнес обращаться указывать самостоятельно сбер бизнес оформить повторный звонок требоваться информация зафиксировать другой продукт услуга остаться вопрос смена благодарить обращение добрый свидание добрый_день клиентский_менеджер продажа обращаться уточнить номер далее последний цифра открытие расчётный счёт предоставлять бесплатно возможно подобрать тариф сказать возможно выбрать тариф обслуживание счёт либо валюта счёт рассматривать российский рубль платёжный поручение осуществлять сторонний банк течение месяц отправлять возможно контрагент поставщик расчётный счёт платёж месяц э сориентировать уточнить терминал верно оборот рассчитать изготавливать напрямую столовая либо готовый питание быстро приготовление фастфуд условие эквайринг правильно озвучить счёт подобрать тариф уточнить перевод расчётный счёт счёт физический_лицо отправлять операция личный_карта либо счёт другой физический_лицо вносить самостоятельно расчётный счёт планировать верно возможно рассмотреть тариф набирать оборот данный тариф включить платёж месяц сторонний банк неограниченный количество счёт наш банк перевод средство счёт физический_лицо контрагент поставщик другой юридический_лицо индивидуальный_предприниматель счёт сбербанк течение сторонний банк платёж бесплатно рубль платёж перевод средство счёт рубль платёж платёжный поручение контрагент сторонний банк перевод средство счёт физический_лицо рубль месяц комиссия операция сверху учёный объём оплачиваться дополнительно тариф включить один бизнес_карта смс информирование счёт карта услуга юрист бизнес сервис подбор персонал работать открытие счёт бесплатно плата тариф рубль месяц обслуживание ежемесячный дать тариф аквариум мочь рассмотреть оборудовать предоставлять бесплатно установка обучение круглосуточный технический поддержка комиссия зависеть оборот предыдущий месяц автоматически пересчитывать безналичный оплата произвести тариф уточнить территориально везти деятельность какой регион республика башкортостан верно терминал дальнейший рассматриваться миллион количество общий терминал оборот связаться сфера деятельность быстро приготовление фастфуд случай комиссия составлять один целый процент терминал рассмотреть миллион поделить либо количество терминал каждый транзакция месяц заявка формироваться личный_кабинет один целый процент остаться рассматриваться найти эквайринг найти терминал оборот свыше возможно перерасчитать комиссия индивидуальный условие миллион количество терминал самый комиссия рассмотрение повторить какой тариф актуально действовать поэтому здравствуйте терминал терминал клиент выплачивать карта комиссия такой тариф возможно индивидуальный условие отделение_банка рассматривать общий терминал самый минимальный один целый процент каждый терминал среднее рубль проходить месяц дать комиссия доступно тариф обслуживание счёт зависеть операция рассматривать тариф набирать оборот рубль месяц мочь рассмотреть тариф небольшой операция либо озвучить открытие счёт происходить бесплатно обслуживание зависеть операция говорить платёж сторонний банк месяц проходить тариф набирать оборот подходящий включить платёж ограничение количество счёт наш банк контрагент переводить счёт физический_лицо рубль месяц комиссия операция бизнес карта счёт прикрепить случай рубль процент минимум рубль далее зависеть сумма выдача денежный_средство либо рассмотреть перевод счёт физический_лицо условие рубль месяц комиссия оплата тариф рубль хватать данный сумма мочь рассмотреть дополнительный опция опция увеличить лимит перевод насчитать физический_лицо комиссия рубль стоить один рубль месяц мочь рассмотреть способ больший сумма перевод нужный зависимый какой банк э любой физический_лицо доступно рубль комиссия оплачивать обслуживание счёт дополнительный максимальный тариф рассмотреть тариф полный ход включить платёж сторонний банк неограниченный количество счёт наш банк допустить перевод средство счёт физический_лицо рубль месяц комиссия рамка тариф прикрепить премиальный бизнес карта счёт смс информирование счёт обслуживание_карта тариф тысяча рубль необходимость тариф мочь подключить дополнительно опция увеличение рубль лимит один тысяча рубль рубль оплачивать обслуживание плюс задать опция тут какой банк открыть терминал оформить договор переоформление счёт зачисление изменить банк заниматься терминал зачисление терминал наш банк зачисление сторонний банк обращаться банк терминал изменить договор зачисление подключение терминал какой либо банк мочь рассмотреть либо наш банк либо сторонний система должный зачислять какой операционный банк мочь рассмотреть банк технический поддержка торговый рассмотреть работать дать терминал наш система либо просмотреть сторонний банк какой модель терминал работать дальнейший условие среднее один целый процент публичный рассмотреть какой либо банк сын экранизация провести произведение оплата счёт заниматься банк зависимый банк либо сторонний банк привязка операция должный терминал зачисляться мочь рассмотреть сторонний банк операционный система терминал собственность другой банк любой случай оставлять терминал сторонний банк открывать счёт наш банк изменить договор терминал счёт зачисление расчётный счёт наш банк вопрос наш банк терминал банк оформить терминал банк поступать расчётный счёт дальнейший распоряжаться дальнейший терминал сторонний банк переоформить договор банк находиться дать терминал обслуживаться счёт расчётный реквизит наш банк пристав поступать счёт далее распоряжаться ваш счёт заключать договор свой терминал лично употребление проверить работать наш система дальнейший оформить договор эквайринг условие терминал банк рассмотреть индивидуальный условие терминал предоставить банк случай обращаться отделение_банка корпоративный клиент рассчитать индивидуальный условие проверить возможность работать ваш терминал наш банк смочь подобрать отделение_банка ваш город корпоративный клиент помочь вопрос рассчитать комиссия детально отделение индивидуальный условие отделение_банка специалист просмотреть общий условие озвучить комиссия терминал какой тариф данный момент нету рассматривать процентный_ставка эквайринг индивидуальный условие рассчитать отделение_банка ваш терминал терминал предоставлять штука количество оборот среднее миллион самый минимальный обслуживание платный счёт операция счёт проходить подходить платный условие тариф хотеть бесплатный обслуживание мочь рассмотреть комиссия бесплатный обслуживание озвучить платёж месяц сторонний банк включить последующий рубль платёж неограниченный количество счёт наш банк перевод средство счёт физический_лицо рубль месяц комиссия операция сверх ключ объём оплачиваться дополнительный тариф включить моментальный бизнес_карта услуга юрист бизнес сервис подбор персонал работа открытие обслуживание тариф бесплатно дополнительный опция тариф подключаться данный момент направить смс ссылка тариф мочь каждый тариф просмотреть комиссия условие сравнить мочь определиться либо вопрос какой либо дальнейший отделение_банка сориентировать отделение_банка помочь возможно удобный отделение обратиться уточнить место число тариф терминал отделение помочь отделение консультировать корпоративный клиент какой район российский близкий проспект октябрь отделение_банка корпоративный клиент понедельник пятница поздний час закрытие обращаться данный отделение обращаться специалист эквайринг помочь хороший день свидание,Зарплатные проекты,Эквайринг
57,добрый_день звать виктория сбербанк_клиентский_менеджер блок сбер бизнес звонить предприниматель удобно разговаривать ранее закрыть планировать понять информация внести система будущее принять решение ввести ваш деятельность предпринимать либо представитель юридический_лицо ради сотрудник вновь текущий момент благодарить уделить добрый свидание,Бизнес-карта,Зарплатные проекты
60,добрый_день здравствуйте звать виктория сбербанк_клиентский_менеджер бизнес звонить индивидуальный_предприниматель удобно занять завтра перезвонить например удобно завтра какой сказать завтра перезвонить добрый свидание,Открытие банковского счета,Бизнес-карта
64,добрый_день добрый_день звать персональный_менеджер_сбербанк блок сбер бизнес звонить организация музыкальный капитал иметь отношение дать организация правильно понимать извинить обращаться приятно дать контакт указать правильно понимать понять сказать хотеть связаться руководитель организация сотрудник отвечать взаимодействие банк правильно понимать являться сотрудник понять поступить завтра перезвонить хороший день обед перезвонить свидание,Открытие банковского счета,Зарплатные проекты
76,добрый_день сбербанк экспорт бизнес организация позвонить удобно уточнить хо уточнить хотеть информация почта направлять решение принять решение среда удобно праздник удобный звонить перезвонить повторно хороший день добрый свидание,Зарплатные проекты,Открытие банковского счета
78,добрый_день менеджер_сбербанк бизнес удобно минута понять постараться связаться общаться повод открытие счёт уточнить хотеть получиться открыть счёт потребоваться сбербанк нужный друг банк втб понять необходимо новый заявка сайт сбербанк оставить,Зарплатные проекты,Открытие банковского счета
83,добрый_день добрый_день звать персональный_менеджер_сбербанк блок сбер бизнес звонить индивидуальный_предприниматель верно переговорить повод обслуживание наш банк напрямую предприниматель звонить понять добрый свидание,Открытие банковского счета,Бизнес-карта
85,добрый_день сбербанк_бизнес звать звонить индивидуальный_предприниматель удобно ввести деятельность оформить ваш индивидуальный предпринимательство понимать индивидуальный_предприниматель закрыть деятельность звонить индивидуальный_предприниматель понять благодарить предоставить информация хороший день свидание,Зарплатные проекты,Бизнес-карта
